sim_time_us,node_id,event,peer,detail
714167601,26,EOL,0x000f,
718368821,11,LIST,0x0028,
718412677,40,EOL,0x000b,
718612946,11,ADD,0x0028,
718728637,40,CELL_ALLOC,0x000b,slot=3 ch=0 dir=Receive
718742652,40,SUCCESS,0x000b,
718911836,11,CELL_ALLOC,0x0028,slot=3 ch=0 dir=Transmit
720172888,18,LIST,0x000a,
720302326,10,EOL,0x0012,
725856936,23,LIST,0x0022,
726198601,34,EOL,0x0017,
728852813,2,LIST,0x0016,
728972851,22,EOL,0x0002,
731780678,27,LIST,0x0006,
731889225,6,EOL,0x001b,
733638314,35,LIST,0x0006,
733939737,6,EOL,0x0023,
740449227,25,LIST,0x0023,
740854550,35,EOL,0x0019,
744625340,30,LIST,0x0001,
744913384,1,EOL,0x001e,
745099287,30,LIST,0x0026,
745187412,38,EOL,0x001e,
745607158,30,LIST,0x0009,
745667634,9,EOL,0x001e,
746117082,30,LIST,0x0018,
746297803,24,EOL,0x001e,
746594644,30,ADD,0x0001,
746803896,1,CELL_ALLOC,0x001e,slot=16 ch=1 dir=Receive
746844043,1,SUCCESS,0x001e,
746967461,30,CELL_ALLOC,0x0001,slot=16 ch=1 dir=Transmit
755266241,20,LIST,0x0022,
755432748,34,EOL,0x0014,
758772273,31,LIST,0x0009,
758988879,9,EOL,0x001f,
762256768,1,LIST,0x0026,
762362541,38,EOL,0x0001,
790075348,17,LIST,0x0012,
790233066,18,EOL,0x0011,
791683923,12,LIST,0x0011,
792087829,17,EOL,0x000c,
792142855,8,LIST,0x0022,
792288351,34,EOL,0x0008,
797510460,5,LIST,0x0008,
797602172,8,EOL,0x0005,
800262943,19,LIST,0x001f,
800542899,31,EOL,0x0013,
812440008,40,LIST,0x000b,
812597821,11,EOL,0x0028,
818629671,34,LIST,0x0014,
818748484,20,EOL,0x0022,
819418684,9,LIST,0x0018,
819528028,24,EOL,0x0009,
824965017,26,LIST,0x000f,
825153495,15,EOL,0x001a,
826903998,24,LIST,0x0009,
826938456,9,EOL,0x0018,
844610375,30,DELETE,0x0001,
845022998,1,SUCCESS,0x001e,
855201829,10,LIST,0x0012,
855256372,30,ADD,0x0001,
855363021,18,EOL,0x000a,
855438690,1,SUCCESS,0x001e,
855633239,30,CELL_ALLOC,0x0001,slot=6 ch=10 dir=Transmit
855646195,30,SUCCESS,0x0001,
855755125,1,CELL_ALLOC,0x001e,slot=6 ch=10 dir=Receive
870049521,30,LIST,0x000f,
870093719,15,EOL,0x001e,
879095999,6,LIST,0x001a,
879328962,26,EOL,0x0006,
898067974,38,LIST,0x001c,
898128535,28,EOL,0x0026,
